City,VN_population
San Jose,106992
Garden Grove,52894
Westminster,36689
San Diego,37606
Santa Ana,24702
Los Angeles,21981
Anaheim,17896
San Francisco,14657
Fountain Valley,11561
Milpitas,11165
Rosemead,8401
Stanton,6526
Midway,3511
San Gabriel,2524
El Monte,8654
Sacramento,6530
Oakland,8910
Santa Clara,4498
Santa Rosa,1239
Stockton,6044
Huntington Beach,7585
Riverside,3135
Sunnyvale,3030
Fullerton,1945
Berkeley,1110
Alhambra,4212
West Covina,2790
Vallejo,576
Union City,2559
Torrance,2137
South San Francisco,395
South El Monte,767
San Mateo,336
San Leandro,2715
Pasadena,632
Palo Alto,401
National City,127
Mountain View,694
Monterey Park,2629
Modesto,1183
Irvine,7882
Elk Grove,7024
Costa Mesa,2255
Corona,2215
Chino,537
Bakersfield,1140
Alameda,2041
Fresno,2093
Rancho Cucamonga,1158
Lake Forest,1617
Newark,980

